106.696129,26.560768
106.696846,26.554337
106.698929,26.54948
106.705482,26.549871
106.706467,26.545071
106.706375,26.545321
106.707146,26.546507
106.707069,26.546509
106.708588,26.546453
106.708488,26.5466
106.701447,26.546944
106.706192,26.547556
106.70388,26.5478
106.700516,26.548384
106.70134,26.54862
106.70417,26.548693
106.701714,26.549168
106.708206,26.54986
106.700203,26.550497
106.708778,26.550865
106.705788,26.552267
106.710197,26.55257
106.70105,26.552874
106.707344,26.553507
106.707474,26.552925
106.702354,26.553713
106.708641,26.554005
106.694763,26.550753
106.694092,26.551096
106.696175,26.551559
106.694809,26.553873
106.692162,26.554129
106.697342,26.554237
106.700706,26.554668
106.699509,26.555065
106.699425,26.554956
106.693947,26.555206
106.693871,26.55517
106.693657,26.556347
106.700089,26.556332
106.697487,26.55657
106.696442,26.558153
106.698929,26.55834
106.698158,26.558573
106.694748,26.558743
106.697945,26.559458
106.692238,26.557796
106.700668,26.558683
106.692192,26.55982
106.701248,26.559898
106.693535,26.5604
106.691895,26.561192
106.697365,26.562181
106.69651,26.562395
106.690804,26.562422
106.696754,26.563717
106.698395,26.563839
106.694244,26.564365
106.696411,26.565569
106.696297,26.565683
106.69574,26.565645
106.695435,26.565737
106.725479,26.487627
106.724373,26.482904
106.728218,26.483253
106.727936,26.483627
106.723366,26.484335
106.72422,26.485037
106.727943,26.485067
106.723526,26.485868
106.730537,26.485846
106.720512,26.486767
106.722603,26.487202
106.727798,26.487312
106.729362,26.48749
106.722717,26.48789
106.724854,26.48785
106.721283,26.488146
106.725754,26.488293
106.720978,26.488707
106.721306,26.490034
106.721573,26.490019
106.726097,26.49024
106.728691,26.49061
106.725632,26.491158
106.725258,26.492771
106.749367,26.565554
106.748344,26.560522
106.748817,26.561539
106.753174,26.561842
106.749527,26.562489
106.744591,26.562698
106.748474,26.564175
106.747215,26.564465
106.751167,26.565559
106.748611,26.566256
106.750504,26.566994
106.747528,26.567196
106.746986,26.566933
106.753181,26.567535
106.751221,26.567774
106.750374,26.568111
106.748924,26.568365
106.753845,26.568745
106.753517,26.568239
106.753395,26.568758
106.751511,26.569506
106.75116,26.56988
106.749084,26.570377
106.748062,26.570555
106.734467,26.56551
106.73262,26.560804
106.735832,26.560984
106.735565,26.561268
106.730698,26.561985
106.73082,26.562847
106.737534,26.56361
106.730003,26.563959
106.733208,26.564623
106.739983,26.564764
106.736298,26.564899
106.732201,26.565088
106.735565,26.565338
106.739716,26.565641
106.736511,26.566692
106.737411,26.566486
106.73703,26.566786
106.7314,26.566813
106.730858,26.566755
106.729004,26.567228
106.73391,26.567223
106.731636,26.567429
106.732925,26.568306
106.739357,26.568375
106.77755,26.571869
106.773354,26.568375
106.779541,26.568701
106.783089,26.570875
106.773697,26.571316
106.778992,26.57143
106.778603,26.571451
106.780907,26.572496
106.773369,26.572645
106.780739,26.573135
106.772179,26.573025
106.772316,26.573551
106.780098,26.573738
106.780792,26.573833
106.772469,26.574217
106.772774,26.574631
106.776146,26.575241
106.776642,26.575224
106.774361,26.575392
106.775597,26.575893
106.778046,26.576183
106.777748,26.576153
106.779816,26.576691
106.777176,26.576818
106.671638,26.55908
106.670387,26.552969
106.672897,26.548454
106.663338,26.548159
106.664284,26.543215
106.663445,26.543655
106.6623,26.543896
106.665459,26.544098
106.663895,26.544218
106.663345,26.544777
106.659653,26.545881
106.665901,26.546227
106.668755,26.547281
106.660957,26.547726
106.662834,26.547888
106.659576,26.548445
106.667351,26.548782
106.663452,26.549139
106.661125,26.549234
106.664032,26.549807
106.661934,26.549994
106.659904,26.550846
106.66729,26.551102
106.667061,26.550852
106.667023,26.552059
106.661697,26.55312
106.663673,26.553387
106.672295,26.550032
106.675323,26.55052
106.672241,26.550688
106.66861,26.551115
106.675552,26.552647
106.675972,26.553232
106.67141,26.553995
106.666901,26.554108
106.670731,26.554781
106.666,26.554659
106.666206,26.555216
106.675545,26.555374
106.669548,26.555571
106.669701,26.556143
106.673645,26.556429
106.667641,26.556667
106.672943,26.557478
106.668488,26.557886
106.671677,26.558208
106.675583,26.5583
106.667755,26.558998
106.666107,26.55975
106.674965,26.560108
106.673828,26.560452
106.668983,26.561907
106.669151,26.562044
106.671928,26.561995
106.674934,26.562119
106.670906,26.56254
106.672379,26.56303
106.673096,26.563484
106.671455,26.56352
106.736847,26.50701
106.731598,26.502382
106.733627,26.497259
106.734154,26.4932
106.731514,26.493801
106.731827,26.493713
106.729973,26.494276
106.738136,26.494411
